# timestamp is yyyymmddHHDD (year, month, day, hour, minute)
# precipitation is rainfall depth (mm) 
stn;time;rre150h0
AIG;2018010101;0.8
AIG;2018010102;0.2
AIG;2018010103;0.7
AIG;2018010104;0.7
AIG;2018010105;0.0
AIG;2018010106;0.0
AIG;2018010107;0.0
AIG;2018010108;0.0
AIG;2018010109;0.0
AIG;2018010110;0.0
AIG;2018010111;0.0
AIG;2018010112;0.0
AIG;2018010113;0.0
AIG;2018010114;0.0
AIG;2018010115;0.0
AIG;2018010116;0.0
AIG;2018010117;0.1
AIG;2018010118;0.5
AIG;2018010119;0.7
AIG;2018010120;0.4
AIG;2018010121;0.9
AIG;2018010122;0.4
AIG;2018010123;0.0
AIG;2018010200;0.1
AIG;2018010201;0.0
AIG;2018010202;0.0
AIG;2018010203;0.1
AIG;2018010204;0.0
AIG;2018010205;0.0
AIG;2018010206;0.0
AIG;2018010207;0.0
AIG;2018010208;0.0
AIG;2018010209;0.0
AIG;2018010210;0.0
AIG;2018010211;0.0
AIG;2018010212;0.0
AIG;2018010213;0.0
AIG;2018010214;0.0
AIG;2018010215;0.0
AIG;2018010216;0.0
AIG;2018010217;0.0
AIG;2018010218;0.0
AIG;2018010219;0.0
AIG;2018010220;0.0
AIG;2018010221;0.1
AIG;2018010222;0.2
AIG;2018010223;0.2
AIG;2018010300;0.2
AIG;2018010301;0.0
AIG;2018010302;0.0
AIG;2018010303;0.0
AIG;2018010304;0.0
AIG;2018010305;0.1
AIG;2018010306;0.3
AIG;2018010307;0.9
AIG;2018010308;0.5
AIG;2018010309;0.4
AIG;2018010310;0.5
AIG;2018010311;1.3
AIG;2018010312;0.5
AIG;2018010313;3.1
AIG;2018010314;4.7
AIG;2018010315;0.5
AIG;2018010316;0.0
AIG;2018010317;0.0
AIG;2018010318;0.0
AIG;2018010319;0.0
AIG;2018010320;0.0
AIG;2018010321;0.0
AIG;2018010322;0.1
AIG;2018010323;0.4
AIG;2018010400;0.6
AIG;2018010401;0.8
AIG;2018010402;2.0
AIG;2018010403;3.0
AIG;2018010404;2.3
AIG;2018010405;0.6
AIG;2018010406;2.6
AIG;2018010407;1.5
AIG;2018010408;1.6
AIG;2018010409;3.1
AIG;2018010410;2.8
AIG;2018010411;4.0
AIG;2018010412;3.1
AIG;2018010413;1.2
AIG;2018010414;0.9
AIG;2018010415;1.2
AIG;2018010416;1.4
AIG;2018010417;1.4
AIG;2018010418;0.5
AIG;2018010419;0.4
AIG;2018010420;0.4
AIG;2018010421;1.1
AIG;2018010422;0.9
AIG;2018010423;0.6
AIG;2018010500;0.1
AIG;2018010501;0.0
AIG;2018010502;0.0
AIG;2018010503;0.0
AIG;2018010504;0.0
AIG;2018010505;0.0
AIG;2018010506;0.0
AIG;2018010507;0.0
AIG;2018010508;0.0
AIG;2018010509;0.0
AIG;2018010510;0.0
AIG;2018010511;0.0
AIG;2018010512;0.0
AIG;2018010513;0.0
AIG;2018010514;0.0
AIG;2018010515;0.0
AIG;2018010516;0.0
AIG;2018010517;0.4
AIG;2018010518;0.0
AIG;2018010519;0.0
AIG;2018010520;0.0
AIG;2018010521;0.0
AIG;2018010522;0.0
AIG;2018010523;0.1
AIG;2018010600;0.2
AIG;2018010601;0.7
AIG;2018010602;0.0
AIG;2018010603;0.0
AIG;2018010604;0.0
AIG;2018010605;0.0
AIG;2018010606;0.0
AIG;2018010607;0.0
AIG;2018010608;0.0
AIG;2018010609;0.0
AIG;2018010610;0.0
AIG;2018010611;0.0
AIG;2018010612;0.0
AIG;2018010613;0.0
AIG;2018010614;0.0
AIG;2018010615;0.0
AIG;2018010616;0.0
AIG;2018010617;0.0
AIG;2018010618;0.0
AIG;2018010619;0.0
AIG;2018010620;0.0
AIG;2018010621;0.0
AIG;2018010622;0.0
AIG;2018010623;0.0
AIG;2018010700;0.0
AIG;2018010701;0.0
AIG;2018010702;0.0
AIG;2018010703;0.0
AIG;2018010704;0.0
AIG;2018010705;0.0
AIG;2018010706;0.0
AIG;2018010707;0.0
AIG;2018010708;0.0
AIG;2018010709;0.0
AIG;2018010710;0.0
AIG;2018010711;0.0
AIG;2018010712;0.0
AIG;2018010713;0.0
AIG;2018010714;0.0
AIG;2018010715;0.0
AIG;2018010716;0.0
AIG;2018010717;0.0
AIG;2018010718;0.0
AIG;2018010719;0.0
AIG;2018010720;0.0
AIG;2018010721;0.0
AIG;2018010722;0.0
AIG;2018010723;0.0
AIG;2018010800;0.0
AIG;2018010801;0.0
AIG;2018010802;0.0
AIG;2018010803;0.0
AIG;2018010804;0.0
AIG;2018010805;0.0
AIG;2018010806;0.0
AIG;2018010807;0.0
AIG;2018010808;0.0
AIG;2018010809;0.0
AIG;2018010810;0.0
AIG;2018010811;0.0
AIG;2018010812;0.0
AIG;2018010813;0.0
AIG;2018010814;0.0
AIG;2018010815;0.0
AIG;2018010816;0.0
AIG;2018010817;0.0
AIG;2018010818;0.0
AIG;2018010819;0.0
AIG;2018010820;0.0
AIG;2018010821;0.0
AIG;2018010822;0.0
AIG;2018010823;0.0
AIG;2018010900;0.5
AIG;2018010901;3.1
AIG;2018010902;6.1
AIG;2018010903;0.1
AIG;2018010904;0.0
AIG;2018010905;0.0
AIG;2018010906;0.0
AIG;2018010907;0.0
AIG;2018010908;0.0
AIG;2018010909;0.0
AIG;2018010910;0.0
AIG;2018010911;0.0
AIG;2018010912;0.0
AIG;2018010913;0.0
AIG;2018010914;0.0
AIG;2018010915;0.0
AIG;2018010916;0.0
AIG;2018010917;0.0
AIG;2018010918;0.0
AIG;2018010919;0.0
AIG;2018010920;0.0
AIG;2018010921;0.0
AIG;2018010922;0.0
AIG;2018010923;0.0
AIG;2018011000;0.0
AIG;2018011001;0.0
AIG;2018011002;0.0
AIG;2018011003;0.0
AIG;2018011004;0.0
AIG;2018011005;0.0
AIG;2018011006;0.0
AIG;2018011007;0.0
AIG;2018011008;0.0
AIG;2018011009;0.0
AIG;2018011010;0.0
AIG;2018011011;0.0
AIG;2018011012;0.0
AIG;2018011013;0.0
AIG;2018011014;0.0
AIG;2018011015;0.0
AIG;2018011016;0.0
AIG;2018011017;0.0
AIG;2018011018;0.0
AIG;2018011019;0.0
AIG;2018011020;0.0
AIG;2018011021;0.0
AIG;2018011022;0.0
AIG;2018011023;0.0
AIG;2018011100;0.0
AIG;2018011101;0.0
AIG;2018011102;0.0
AIG;2018011103;0.0
AIG;2018011104;0.0
AIG;2018011105;0.2
AIG;2018011106;0.2
AIG;2018011107;0.0
AIG;2018011108;0.0
AIG;2018011109;0.0
AIG;2018011110;0.0
AIG;2018011111;0.0
AIG;2018011112;0.0
AIG;2018011113;0.0
AIG;2018011114;0.0
AIG;2018011115;0.0
AIG;2018011116;0.0
AIG;2018011117;0.0
AIG;2018011118;0.0
AIG;2018011119;0.0
AIG;2018011120;0.0
AIG;2018011121;0.0
AIG;2018011122;0.0
AIG;2018011123;0.0
AIG;2018011200;0.0
AIG;2018011201;0.0
AIG;2018011202;0.0
AIG;2018011203;0.0
AIG;2018011204;0.0
AIG;2018011205;0.0
AIG;2018011206;0.0
AIG;2018011207;0.0
AIG;2018011208;0.0
AIG;2018011209;0.0
AIG;2018011210;0.0
AIG;2018011211;0.0
AIG;2018011212;0.0
AIG;2018011213;0.0
AIG;2018011214;0.0
AIG;2018011215;0.0
AIG;2018011216;0.0
AIG;2018011217;0.0
AIG;2018011218;0.0
AIG;2018011219;0.0
AIG;2018011220;0.0
AIG;2018011221;0.0
AIG;2018011222;0.0
AIG;2018011223;0.0
AIG;2018011300;0.0
AIG;2018011301;0.0
AIG;2018011302;0.0
AIG;2018011303;0.0
AIG;2018011304;0.0
AIG;2018011305;0.0
AIG;2018011306;0.0
AIG;2018011307;0.0
AIG;2018011308;0.0
AIG;2018011309;0.0
AIG;2018011310;0.0
AIG;2018011311;0.0
AIG;2018011312;0.0
AIG;2018011313;0.0
AIG;2018011314;0.0
AIG;2018011315;0.0
AIG;2018011316;0.0
AIG;2018011317;0.0
AIG;2018011318;0.0
AIG;2018011319;0.0
AIG;2018011320;0.0
AIG;2018011321;0.0
AIG;2018011322;0.0
AIG;2018011323;0.0
AIG;2018011400;0.0
AIG;2018011401;0.0
AIG;2018011402;0.0
AIG;2018011403;0.0
AIG;2018011404;0.0
AIG;2018011405;0.0
AIG;2018011406;0.0
AIG;2018011407;0.0
AIG;2018011408;0.0
AIG;2018011409;0.0
AIG;2018011410;0.0
AIG;2018011411;0.0
AIG;2018011412;0.0
AIG;2018011413;0.0
AIG;2018011414;0.0
AIG;2018011415;0.0
AIG;2018011416;0.0
AIG;2018011417;0.0
AIG;2018011418;0.0
AIG;2018011419;0.0
AIG;2018011420;0.0
AIG;2018011421;0.0
AIG;2018011422;0.0
AIG;2018011423;0.0
AIG;2018011500;0.0
AIG;2018011501;0.0
AIG;2018011502;0.0
AIG;2018011503;0.0
AIG;2018011504;0.0
AIG;2018011505;0.0
AIG;2018011506;0.0
AIG;2018011507;0.0
